frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,3,[751.87060546875 1373.1614990234375 1424.593505859375 1992.6007080078125],[957 1729 1227 1826],0.4987304210662842,IM14URU,0.05447879422265663
3,3,[740.8612060546875 1386.9334716796875 1429.7548828125 2011.9896240234375],[957 1751 1203 1849],0.2920168936252594,IM41API,0.5242667522563484
4,5,[2187.80859375 1175.0889892578125 2792.917236328125 1762.836669921875],[2397 1549 2619 1646],0.3353404998779297,HV51VSU,0.098368479950527
5,5,[2186.9453125 1176.3980712890625 2797.059326171875 1767.4427490234375],[2397 1549 2619 1646],0.5408727526664734,AV51YSU,0.1595463665468241
5,3,[732.8175659179688 1398.6171875 1436.7587890625 2029.830810546875],[933 1751 1227 1871],0.3644241988658905,NA13MRU,0.35749958250397745
7,5,[2194.7763671875 1184.9964599609375 2821.47314453125 1776.21728515625],[2397 1549 2619 1646],0.3330937623977661,KM61TAM,0.04346928280996997
9,3,[708.4772338867188 1419.3284912109375 1414.8980712890625 2065.75732421875],[933 1796 1203 1894],0.5642113089561462,AN14UDI,0.04305677736157855
15,3,[682.7266845703125 1462.5457763671875 1401.2249755859375 2109.00537109375],[909 1841 1179 1939],0.604983925819397,AN14MOL,0.02551182126613485
34,5,[2217.42138671875 1311.8084716796875 2871.7744140625 1967.057373046875],[2421 1729 2667 1826],0.7480292916297913,NT51VSI,0.008737476281550523
57,6,[1087.6923828125 1197.8173828125 1705.243408203125 1678.7066650390625],[1293 1459 1515 1556],0.49437013268470764,GX15OGJ,0.2153808850397256
